"Chlorophyll","CDOM","Mineral","blue","green","red"
0.1,0.1,0.1,0.00257785146257538,0.00273448613729497,0.000404062256447859
0.1,0.1,1,0.00391378968925215,0.00569967094089907,0.000929003548329171
0.1,0.1,10,0.00596888327717349,0.012679083511348,0.00282493374110697
0.1,1,0.1,0.000325545865112225,0.0008373908106445,0.000370176041132481
0.1,1,1,0.000599758828973902,0.00182648341941786,0.000852766038678452
0.1,1,10,0.00157177709027259,0.00550261008084705,0.00261742347871967
0.1,10,0.1,3.34804202914918e-05,0.000105809940209384,0.00020097208084458
0.1,10,1,6.34981045128917e-05,0.000232568239915645,0.000467690373891317
0.1,10,10,0.000186268343411079,0.000755413993777414,0.00150191752888409
1,0.1,0.1,0.00391378968925215,0.00569967094089907,0.000929003548329171
1,0.1,1,0.00478874113776643,0.00812314117416412,0.00142964343346988
1,0.1,10,0.00623964697551577,0.013704985188147,0.00322584849343098
1,1,0.1,0.000599758828973902,0.00182648341941786,0.000852766038678452
1,1,1,0.000858429529215225,0.00279413392016536,0.00131475123653046
1,1,10,0.00177628358218354,0.00627118425098301,0.00299512725754016
1,10,0.1,6.34981045128917e-05,0.000232568239915645,0.000467690373891317
1,10,1,9.33162376165882e-05,0.000358888585707069,0.000727773952077471
1,10,10,0.000215250492435284,0.000880250603987931,0.00173620978389558
10,0.1,0.1,0.00596888327717349,0.012679083511348,0.00282493374110697
10,0.1,1,0.00623964697551577,0.013704985188147,0.00322584849343098
10,0.1,10,0.006776568638348,0.0162910241168489,0.00462959239038355
10,1,0.1,0.00157177709027259,0.00550261008084705,0.00261742347871967
10,1,1,0.00177628358218354,0.00627118425098301,0.00299512725754016
10,1,10,0.00249985540888039,0.00887267630723303,0.00433755625069987
10,10,0.1,0.000186268343411079,0.000755413993777414,0.00150191752888409
10,10,1,0.000215250492435284,0.000880250603987931,0.00173620978389558
10,10,10,0.000333684728841854,0.0013950808565729,0.00263573932793254
